ticker,name,sector
6723.T,ルネサスエレクトロニクス,半導体
6724.T,セイコーエプソン,テクノロジー
6752.T,パナソニックホールディングス,テクノロジー
6753.T,シャープ,テクノロジー
6758.T,ソニーグループ,テクノロジー
6762.T,TDK,テクノロジー
6770.T,アルプスアルパイン,テクノロジー
6857.T,アドバンテスト,半導体
6861.T,キーエンス,テクノロジー
6902.T,デンソー,自動車
6920.T,レーザーテック,半導体
6952.T,カシオ計算機,テクノロジー
6954.T,ファナック,テクノロジー
6971.T,京セラ,テクノロジー
6981.T,村田製作所,テクノロジー
7003.T,三井E&S,機械
7011.T,三菱重工業,機械
7012.T,川崎重工業,機械
7013.T,IHI,機械
7201.T,日産自動車,自動車
7202.T,いすゞ自動車,自動車
7203.T,トヨタ自動車,自動車
7205.T,日野自動車,自動車
7211.T,三菱自動車工業,自動車
7261.T,マツダ,自動車
7267.T,本田技研工業,自動車
7269.T,スズキ,自動車
7270.T,SUBARU,自動車
7272.T,ヤマハ発動機,自動車
7309.T,シマノ,機械
7733.T,オリンパス,ヘルスケア
7741.T,HOYA,ヘルスケア
7751.T,キヤノン,テクノロジー
7752.T,リコー,テクノロジー
7832.T,バンダイナムコホールディングス,サービス
7912.T,大日本印刷,テクノロジー
7974.T,任天堂,テクノロジー
8001.T,伊藤忠商事,商社
8002.T,丸紅,商社
8015.T,豊田通商,商社
8031.T,三井物産,商社
8035.T,東京エレクトロン,半導体
8053.T,住友商事,商社
8058.T,三菱商事,商社
8233.T,高島屋,小売
8252.T,丸井グループ,小売
8267.T,イオン,小売
8306.T,三菱UFJフィナンシャル・グループ,金融
8308.T,りそなホールディングス,金融
8309.T,三井住友トラスト・ホールディングス,金融
8316.T,三井住友フィナンシャルグループ,金融
8331.T,千葉銀行,金融
8354.T,ふくおかフィナンシャルグループ,金融
8411.T,みずほフィナンシャルグループ,金融
8591.T,オリックス,金融
8601.T,大和証券グループ本社,金融
8604.T,野村ホールディングス,金融
8630.T,SOMPOホールディングス,金融
8725.T,MS&ADインシュアランスグループホールディングス,金融
8750.T,第一生命ホールディングス,金融
8766.T,東京海上ホールディングス,金融
8802.T,三菱地所,不動産
8804.T,東京建物,不動産
8830.T,住友不動産,不動産
9020.T,東日本旅客鉄道,運輸
9021.T,西日本旅客鉄道,運輸
9022.T,東海旅客鉄道,運輸
9064.T,ヤマトホールディングス,運輸
9101.T,日本郵船,運輸
9104.T,商船三井,運輸
9107.T,川崎汽船,運輸
9202.T,ANAホールディングス,運輸
9432.T,日本電信電話,テクノロジー
9433.T,KDDI,テクノロジー
9434.T,ソフトバンク,テクノロジー
9501.T,東京電力ホールディングス,エネルギー
9502.T,中部電力,エネルギー
9503.T,関西電力,エネルギー
9531.T,東京ガス,エネルギー
9532.T,大阪ガス,エネルギー
9602.T,東宝,サービス
9613.T,NTTデータグループ,テクノロジー
9735.T,セコム,サービス
9766.T,コナミグループ,サービス
9983.T,ファーストリテイリング,小売
9984.T,ソフトバンクグループ,テクノロジー
